einstellungsparameter;aInStElUNspaRa:me:t6 
formation;fORmatsi:o:n 
formationen;fORmatsi:o:n@n 
formationenquelltext;fORmatsi:o:n@nkvEltEkst 
formativer;fORmati:v6 
formatlage;fORma:tla:g@ 
formatquelltext;fORma:tkvEltEkst 
formats;fORma:ts 
formazione;fORmatsi: o:nE 
formbildende;fORmbIld@nd@ 
formbildung;fORmbIldUN 
formblatt;fORmblat 
formbr;fORmbR 
forme;fORm@ 
formeigenschaft;fORm aIg@nSaft 
formel;fORm@l 
formelerste;fORm@l e:6st@ 
formeleulerschen;fORm@lOYl6S@n 
formelhaft;fORm@lhaft 
formell;fORmEl 
formelle;fORmEl@ 
formellem;fORmEl@m 
formellen;fORmEl@n 
formeller;fORmEl6 
formelles;fORmEl@s 
formellgesetzlichen;fORmElg@zEtslIC@n 
formellogische;fORm@lo:gIS@ 
formellogischen;fORm@lo:Zi:C@n 
formelmathematische;fORm@lmat@ma:tIS@ 
formelmathematischen;fORm@lmat@ma:tIS@n 
formelmenge;fORm@lmEN@ 
formeln;fORm@ln 
formelnfrenetschen;fORm@lnfRe:nEtS@n 
formelnquelltext;fORm@lnkvEltEkst 
formelradbruchschen;fORm@lRa:tbRu:xS@n 
formelsammlung;fORm@lzamlUN 
formelsammlungquelltext;fORm@lzamlUNkvEltEkst 
formelsatz;fORm@lzats 
formelsatzes;fORm@lzats@s 
formelsatzesquelltext;fORm@lzats@skvEltEkst 
formelsprache;fORm@lSpRa:x@ 
formelwirksamen;fORm@lvIRkza:m@n 
formelzeichen;fORm@ltsaIC@n 
formen;fORm@n 
formenanalyse;fORm@n analy:z@ 
formenbildung;fORm@nbIldUN 
formenbr;fORmEnbR 
formende;fORm@nd@ 
formenden;fORm@nd@n 
formengleich;fORm@nglaIC 
formenlehre;fORm@nle:R@ 
formenlehren;fORm@nle:R@n 
formennulnlio;fORmEnUlnli: o: 
formenquelltext;fORm@nkvEltEkst 
formenreichen;fORm@nRaIC@n 
formenreichtum;fORm@nRaICtu:m 
formenrepertoire;fORm@nRe:pERto:a:6 
formensprache;fORm@nSpRa:x@ 
former;fORm6 
formerfordernisse;fORm ERfORd6nIs@ 
formerzeugung;fORm ERtsOYgUN 
formes;fORm@s 
formfindung;fORmfIndUN 
formfrei;fORmfRaI 
formgebundener;fORmg@bUnd@n6 
formgebung;fORmge:bUN 
formgetreu;fORmg@tROY 
formgleichheit;fORmglaIChaIt 
formieren;fORmi:R@n 
formierende;fORmi:R@nd@ 
formiert;fORmi:6t 
formierte;fORmi:6t@ 
formierten;fORmi:6t@n 
formierung;fORmi:RUN 
formlaws;fORmlava s 
formlos;fORmlo:s 
formlose;fORmlo:z@ 
formlosem;fORmlo:z@m 
formlosen;fORmlo:z@n 
formloser;fORmlo:z6 
formmangel;fORmaN@l 
formosapedra;fORmo:zapEdRa: 
formpressen;fORmpREs@n 
formprimitiven;fORmpRi:mi:ti:v@n 
formprinzip;fORmpRIntsi:p 
formprinzipien;fORmpRIntsi:pi:@n 
formquelltext;fORmkvEltEkst 
forms;fORms 
formsache;fORmzax@ 
formschwerpunkt;fORmSve:6pUNkt 
formstabil;fORmStabi:l 
formsup;fORms ap 
formsymbolischen;fORmzYmbo:lIS@n 
formt;fORmt 
formte;fORmt@ 
formten;fORmt@n 
formtreustes;fORmtROYst@s 
formtrieb;fORmtRi:p 
formula;fORmu:la: 
formular;fORmu:la:6 
formulars;fORmu:la:6s 
formulation;fORmu:latsi: o:n 
formulierbar;fORmu:li:6ba:6 
formulierbare;fORmu:li:6ba:R@ 
formulierbaren;fORmu:li:6ba:R@n 
formulieren;fORmu:li:R@n 
formuliert;fORmu:li:6t 
formulierte;fORmu:li:6t@ 
formulierten;fORmu:li:6t@n 
formulierter;fORmu:li:6t6 
formuliertes;fORmu:li:6t@s 
formuliertsup;fORmu:li:6tzu:p 
formulierung;fORmu:li:RUN 
formulierungen;fORmu:li:RUN@n 
formulierungenquelltext;fORmu:li:RUN@nkvEltEkst 
formulierungensup;fORm Uli:@RUN@ns ap 
formulierungsentwicklung;fORmu:li:RUNs EntvIklUN 
formulierungstypen;fORmu:li:RUNsty:p@n 
formung;fORmUN 
formungebundener;fORm Ung@bUnd@n6 
formungen;fORmUN@n 
formungs;fORmUNs 
formungselemente;fORmUNs e:le:mEnt@ 
formungsprozess;fORmUNspRo:tsEs 
formungsprozessen;fORmUNspRo:tsEs@n 
formursache;fORm u:6zax@ 
formverlorene;fORmfERlo:R@n@ 
formvorschriften;fORmfo:6SRIft@n 
formwechsel;fORmvEks@l 
forndran;fORndRa:n 
foro;fo:Ro: 
foroutan;fo:Ru:ta:n 
foroutannaika;fo:Ru:tana: i:ka: 
forresterjay;fOREst6jaI 
forsch;fORS 
forsche;fORS@ 
forschen;fORS@n 
forschende;fORS@nd@ 
forschenden;fORS@nd@n 
forschens;fORS@ns 
forscher;fORS6 
forschergemeinschaft;fORS6g@maInSaft 
forschergruppe;fORS6gRUp@ 
forschergruppen;fORS6gRUp@n 
forschern;fORS6n 
forschers;fORS6s 
forscherteam;fORS6ti:m 
forscherteams;fORS6ti:ms 
forschner;fORSn6 
forscht;fORSt 
forschte;fORSt@ 
forschten;fORSt@n 
forschung;fORSUN 
forschungangewandte;fORSUN ang@vant@ 
forschungangewandten;fORSUN ang@vant@n 
forschungbundesministerium;fORSUNbUnd@smi:nIste:Ri:Um 
forschungen;fORSUN@n 
forschungfonds;fORSUNfo^ 
forschunggesellschaft;fORSUNg@zElSaft 
forschunglogik;fORSUNlo:gIk 
forschungmaxplanckinstitut;fORSUNmaksplaNk Insti:tu:t 
forschungquelltext;fORSUNkvEltEkst 
forschungs;fORSUNs 
forschungsa;fORSUNsa: 
forschungsabteilungen;fORSUNs aptaIlUN@n 
forschungsanlage;fORSUNs anla:g@ 
forschungsansatz;fORSUNs anzats 
forschungsanstalt;fORSUNs anStalt 
forschungsanwendung;fORSUNs anvEndUN 
forschungsarbeit;fORSUNs aRbaIt 
forschungsarbeiten;fORSUNs aRbaIt@n 
forschungsauffassung;fORSUNs aUfasUN 
forschungsaufgaben;fORSUNs aUfga:b@n 
forschungsaufwendungen;fORSUNs aUfvEndUN@n 
forschungsausschnitte;fORSUNzaUsSnIt@ 
forschungsausstellung;fORSUNs aUsStElUN 
forschungsbeitrag;fORSUNsbaItRa:k 
forschungsbereich;fORSUNsb@RaIC 
forschungsbereiche;fORSUNsb@RaIC@ 
forschungsbereichs;fORSUNsb@RaICs 
forschungsbericht;fORSUNsb@RICt 
forschungsberichte;fORSUNsb@RICt@ 
forschungsbetrieb;fORSUNsb@tRi:p 
forschungsbetriebphilosophischer;fORSUNsb@tRi:pfi:lo:zo:fIS6 
forschungsbetriebquelltext;fORSUNsb@tRi:pkvEltEkst 
forschungsbetriebs;fORSUNsb@tRi:ps 
forschungschmalenbachs;fORSUNSma:l@nbaxs 
forschungsdebatte;fORSUNsde:bat@ 
forschungsdesigns;fORSUNsdi:zaIns 
forschungsdiskurs;fORSUNsdIskURs 
forschungsdiskussion;fORSUNsdIskUsi:o:n 
forschungsdisziplinen;fORSUNsdIstsi:pli:n@n 
forschungseinrichtung;fORSUNs aInRICtUN 
forschungseinrichtungen;fORSUNs aInRICtUN@n 
forschungseinrichtungenquelltext;fORSUNs aInRICtUN@nkvEltEkst 
forschungseinrichtungensup;fORSUNzaInRICt UngEns ap 
forschungsergebnisse;fORSUNs ERge:pnIs@ 
forschungsergebnissen;fORSUNs ERge:pnIs@n 
forschungsfeld;fORSUNsfElt 
forschungsfelder;fORSUNsfEld6 
forschungsfelds;fORSUNsfElts 
forschungsfinanzierung;fORSUNsfi:nantsi:RUN 
forschungsfinanzierungsagenturen;fORSUNsfi:nantsi:RUNs agEntu:R@n 
forschungsfonds;fORSUNsfo^ 
forschungsfortschritt;fORSUNsfORtSRIt 
forschungsfragen;fORSUNsfRa:g@n 
forschungsfreiheit;fORSUNsfRaIhaIt 
forschungsgebiet;fORSUNsg@bi:t 
forschungsgebiete;fORSUNsg@bi:t@ 
forschungsgebieten;fORSUNsg@bi:t@n 
forschungsgegenstand;fORSUNsge:g@nStant 
forschungsgegenstandes;fORSUNsge:g@nStand@s 
forschungsgeldern;fORSUNsgEld6n 
forschungsgemeinschaft;fORSUNsg@maInSaft 
forschungsgemeinschaftdeutsche;fORSUNsg@maInSaftdOYtS@ 
forschungsgemeinschaftdeutschen;fORSUNsg@maInSaftdOYtS@n 
forschungsgeschichtliche;fORSUNsg@SICtlIC@ 
forschungsgruppe;fORSUNsgRUp@ 
forschungsgruppen;fORSUNsgRUp@n 
forschungshorizont;fORSUNsho:Ri:tsOnt 
forschungsinitiative;fORSUNs i:ni:tsi:ati:v@ 
forschungsinstitut;fORSUNs Insti:tu:t 
forschungsinstitute;fORSUNs Insti:tu:t@ 
forschungsinstituten;fORSUNs Insti:tu:t@n 
forschungsknowhow;fORSUNsno:haU 
forschungskomplex;fORSUNskOmplEks 
forschungslandschaft;fORSUNslantSaft 
forschungslandschaftquelltext;fORSUNslantSaftkvEltEkst 
forschungsleistung;fORSUNslaIstUN 
forschungsleistungen;fORSUNslaIstUN@n 
forschungsleiter;fORSUNslaIt6 
forschungsliteratur;fORSUNslIt@Ratu:6 
forschungslogische;fORSUNslo:gIS@ 
forschungsmaterial;fORSUNsmate:Ri:a:l 
forschungsmethode;fORSUNsme:to:d@ 
forschungsmethoden;fORSUNsme:to:d@n 
forschungsmethodequelltext;fORSUNsme:to:d@kvEltEkst 
forschungsmethodologie;fORSUNsme:to:do:lo:gi: 
forschungsmission;fORSUNsmIsi:o:n 
forschungsnetzen;fORSUNsnEts@n 
forschungsobjekt;fORSUNs OpjEkt 
forschungsorganisation;fORSUNs ORgani:zatsi:o:n 
forschungsorganisationen;fORSUNs ORgani:zatsi:o:n@n 
forschungsorientierter;fORSUNs o:Ri:Enti:6t6 
forschungsoziologie;fORSUNzo:tsi:o:lo:gi: 
forschungsparadigmenquelltext;fORSUNspaRadIgm@nkvEltEkst 
forschungsperspektive;fORSUNspERspEkti:v@ 
forschungsplattform;fORSUNsplatfORm 
forschungspraxis;fORSUNspRaksIs 
forschungsproblem;fORSUNspRo:ble:m 
forschungsproblemen;fORSUNspRo:ble:m@n 
forschungsprogramm;fORSUNspRo:gRam 
forschungsprogramme;fORSUNspRo:gRam@ 
forschungsprogramms;fORSUNspRo:gRams 
forschungsprojekt;fORSUNspRo:jEkt 
forschungsprojekte;fORSUNspRo:jEkt@ 
forschungsprojekten;fORSUNspRo:jEkt@n 
forschungsprojektequelltext;fORSUNspRo:jEkt@kvEltEkst 
forschungsprozessen;fORSUNspRo:tsEs@n 
forschungsprozesses;fORSUNspRo:tsEs@s 
forschungsrat;fORSUNsRa:t 
forschungsreaktor;fORSUNsRe:akto:6 
forschungsreisen;fORSUNsRaIz@n 
forschungsreisender;fORSUNsRaIz@nd6 
forschungsrichtung;fORSUNsRICtUN 
forschungsrichtungen;fORSUNsRICtUN@n 
forschungsrichtungenquelltext;fORSUNsRICtUN@nkvEltEkst 
forschungsrichtungsoziologische;fORSUNsRICtUNzo:tsi:o:lo:gIS@ 
forschungsschwerpunkt;fORSUNsSve:6pUNkt 
forschungsschwerpunkte;fORSUNsSve:6pUNkt@ 
forschungsstand;fORSUNsStant 
forschungsstandort;fORSUNsStant ORt 
forschungsstelle;fORSUNsStEl@ 
forschungsthemas;fORSUNste:ma:s 
forschungsup;fORSUNs ap 
forschungsvorhaben;fORSUNsfo:6ha:b@n 
forschungszentren;fORSUNstsEntR@n 
forschungszentrenhelmholtzgemeinschaft;fORSUNstsEntREnhElmhOltsg@maInSaft 
forschungszusammenhang;fORSUNstsu:zam@nhaN 
forschungszwecke;fORSUNstsvEk@ 
forschungszwecken;fORSUNstsvEk@n 
forschungwege;fORSUNve:g@ 
forskrifter;fORskRIft6 
forssman;fORsma:n 
forssmanfriedrich;fORsmanfRi:dRIC 
forst;fORst 
forstarbeiter;fORst aRbaIt6 
forstbeamte;fORstb@ amt@ 
forsten;fORst@n 
forstenquelltext;fORst@nkvEltEkst 
forster;fORst6 
forstergeorg;fORst6ge:ORk 
forstermarc;fORst6maRk 
forsthoffernst;fORstho:fERnst 
forsthydrologie;fORsthy:dRo:lo:gi: 
forstliche;fORstlIC@ 
forstlichen;fORstlIC@n 
forstmaschinen;fORstmaSi:n@n 
forstner;fORstn6 
forstordnungsgesetzsup;fORst ORdnUNsg@zEts ap 
forstpraxis;fORstpRaksIs 
forstwirtschaft;fORstvIRtSaft 
forstwirtschaftbayerischen;fORstvIRtSaftbaI@RIS@n 
forstwirtschaftlich;fORstvIRtSaftlIC 
forstwirtschaftliche;fORstvIRtSaftlIC@ 
forstwirtschaftlichen;fORstvIRtSaftlIC@n 
forstwirtschaftliches;fORstvIRtSaftlIC@s 
forstwirtschaftquelltext;fORstvIRtSaftkvEltEkst 
forstwissenschaften;fORstvIs@nSaft@n 
forstwissenschaftler;fORstvIs@nSaftl6 
forsythfrederick;fORzYtha fRe:dERIk 
fort;fORt 
fortan;fORt an 
fortbestand;fORtb@Stant 
fortbestanden;fORtb@Stand@n 
fortbestehen;fORtb@Ste:@n 
fortbestehendsup;fORtb@Ste:@nts ap 
fortbewegen;fORtb@ve:g@n 
fortbewegung;fORtb@ve:gUN 
fortbewegungsart;fORtb@ve:gUNs a:6t 
fortbewegungsmittel;fORtb@ve:gUNsmIt@l 
fortbewegungsweise;fORtb@ve:gUNsvaIz@ 
fortbewegungsweisen;fORtb@ve:gUNsvaIz@n 
fortbildung;fORtbIldUN 
fortbildungen;fORtbIldUN@n 
fortbildungquelltext;fORtbIldUNkvEltEkst 
fortbildungskurse;fORtbIldUNskURz@ 
fortbildungszentrum;fORtbIldUNstsEntRUm 
fortbr;fORtbR 
fortdauern;fORtdaU6n 
fortdauernde;fORtdaU6nd@ 
fortdauernden;fORtdaU6nd@n 
fortdauernder;fORtdaU6nd6 
fortdauerndes;fORtdaU6nd@s 
fortea;fORte: a 
fortentwickelt;fORt EntvIk@lt 
fortentwicklung;fORt EntvIklUN 
fortesmeyer;fORte:smaI6 
fortexistenz;fORt EksIstEnts 
fortfahren;fORtfa:R@n 
fortfahrenn;fORtfa:REn 
fortgang;fORtgaN 
fortgebildetbr;fORtg@bIldEtbR 
fortgef;fORtgEf 
fortgeschafft;fORtg@Saft 
fortgeschriebene;fORtg@SRi:b@n@ 
fortgeschritten;fORtg@SRIt@n 
fortgeschrittene;fORtg@SRIt@n@ 
fortgeschrittenen;fORtg@SRIt@n@n 
fortgeschrittenes;fORtg@SRIt@n@s 
fortgesetzt;fORtg@zEtst 
fortgesetzte;fORtg@zEtst@ 
fortgesetzten;fORtg@zEtst@n 
fortgetragen;fORtg@tRa:g@n 
forthin;fORthIn 
fortin;fORtIn 
fortior;fORtI o:6 
fortis;fORtIs 
fortissimi;fORtIsi:mi: 
fortius;fORtI Us 
fortkommen;fORtkOm@n 
fortlaufend;fORtlaUf@nt 
fortlaufende;fORtlaUf@nd@ 
fortlaufendem;fORtlaUf@nd@m 
fortlaufenden;fORtlaUf@nd@n 
fortlaufender;fORtlaUf@nd6 
fortleitung;fORtlaItUN 
fortner;fORtn6 
fortpflanzen;fORtpflants@n 
fortpflanzung;fORtpflantsUN 
fortpflanzunggeschlechtlicher;fORtpflantsUNg@SlECtlIC6 
fortpflanzungphysiologie;fORtpflantsUNfy:zi:o:lo:gi: 
fortpflanzungsbarrieren;fORtpflantsUNsbaRi:e:R@n 
fortpflanzungsbiologie;fORtpflantsUNsbi:o:lo:gi: 
fortpflanzungsgemeinschaft;fORtpflantsUNsg@maInSaft 
fortpflanzungsgeschwindigkeit;fORtpflantsUNsg@SvIndICkaIt 
fortpflanzungsgeschwindigkeiten;fORtpflantsUNsg@SvIndICkaIt@n 
fortpflanzungsstrategien;fORtpflantsUNsStRate:gi:@n 
fortsatz;fORtzats 
fortschreibung;fORtSRaIbUN 
fortschreibungen;fORtSRaIbUN@n 
fortschreiten;fORtSRaIt@n 
fortschreitende;fORtSRaIt@nd@ 
fortschreitenden;fORtSRaIt@nd@n 
fortschreitender;fORtSRaIt@nd6 
fortschreitens;fORtSRaIt@ns 
fortschreitet;fORtSRaIt@t 
fortschreitetsup;fORtSRaItEtzu:p 
fortschreitung;fORtSRaItUN 
fortschreitungen;fORtSRaItUN@n 
fortschritt;fORtSRIt 
fortschritte;fORtSRIt@ 
fortschritten;fORtSRIt@n 
fortschrittequelltext;fORtSRIt@kvEltEkst 
fortschrittesup;fORtSRIt@s ap 
fortschrittlich;fORtSRItlIC 
fortschrittliche;fORtSRItlIC@ 
fortschrittlichen;fORtSRItlIC@n 
fortschrittliches;fORtSRItlIC@s 
fortschrittlichsten;fORtSRItlICst@n 
fortschrittlichster;fORtSRItlICst6 
fortschritts;fORtSRIts 
fortschrittsbedingungen;fORtSRItsb@dINUN@n 
fortschrittsindikatoren;fORtSRIts Indi:kato:R@n 
fortschrittsutopie;fORtSRIts u:to:pi: 
fortschritttechnischen;fORtSRItECnIS@n 
fortschritttechnischer;fORtSRItECnIS6 
fortsetzen;fORtzEts@n 
fortsetzensup;fORtzEts@ns ap 
fortsetzt;fORtzEtst 
fortsetzten;fORtzEtst@n 
fortsetzung;fORtzEtsUN 
fortsetzungsserien;fORtzEtsUNsze:Ri:@n 
fortsup;fORtzu:p 
fortune;fORty:n 
fortwirkende;fORtvIRk@nd@ 
fortwirkt;fORtvIRkt 
fortyfive;fORty:fi:vE 
fortzug;fORtsu:k 
fortzugebensup;fORtsu:ge:b@ns ap 
fortzupflanzen;fORtsu:pflants@n 
fortzusetzen;fORtsu:zEts@n 
fortzusetzensup;fORtsu:zEts@ns ap 
forum;fo:RUm 
forumneues;fo:RUmnOY@s 
forumpazifischen;fo:RUmpatsi:fIS@n 
forums;fo:RUms 
forventning;fORvEntnIN 
foschepothjosef;fo:Se:pOtha jo:zEf 
fossataro;fOsataRo: 
fossil;fOsi:l 
fossile;fOsi:l@ 
fossilen;fOsi:l@n 
fossiler;fOsi:l6 
fossilfunde;fOsi:lfUnd@ 
fossilfunden;fOsi:lfUnd@n 
fossilien;fOsi:li:@n 
fossilienatlas;fOsi:li:@n atlas 
fossilienfunden;fOsi:li:@nfUnd@n 
fossilinhalt;fOsi:l Inhalt 
fossils;fOsi:ls 
fossumkarin;fOsUmkaRIn 
foster;fo:st6 
fostering;fOst@RIN 
fosternorman;fo:st6nORma:n 
fothergillalastair;fo:the:6gIlalastaIR 
fotis;fo:tIs 
foto;fo:to: 
fotoapparat;fo:to: apaRa:t 
fotoapparatbauform;fo:to: apaRa:tbaUfORm 
fotoausstellungen;fo:to: aUsStElUN@n 
fotobestand;fo:to:b@Stant 
fotochemie;fo:to:Ce:mi: 
fotochemischen;fo:to:Ce:mIS@n 
fotoelektrischen;fo:to: e:lEktRIS@n 
fotogeschichte;fo:to:g@SICt@ 
fotograf;fo:to:gRa:f 
fotografen;fo:to:gRa:f@n 
fotografenliste;fo:to:gRa:f@nlIst@ 
fotografenquelltext;fo:to:gRa:f@nkvEltEkst 
fotografi;fo:to:gRafi: 
fotografie;fo:to:gRafi: 
fotografiechronologie;fo:to:gRafi:kRo:no:lo:gi: 
fotografiegeschichte;fo:to:gRafi:g@SICt@ 
fotografien;fo:to:gRafi:@n 
fotografiequelltext;fo:to:gRafi:kvEltEkst 
fotografiere;fo:to:gRafi:R@ 
fotografiert;fo:to:gRafi:6t 
fotografisch;fo:to:gRa:fIS 
fotografische;fo:to:gRa:fIS@ 
fotografischen;fo:to:gRa:fIS@n 
fotografischer;fo:to:gRa:fIS6 
fotografisches;fo:to:gRa:fIS@s 
fotokameras;fo:to:kam@Ra:s 
fotokritik;fo:to:kRi:ti:k 
fotolabor;fo:to:la:bo:6 
fotolackschicht;fo:to:lakSICt 
fotomaterial;fo:to:mate:Ri:a:l 
fotomechanische;fo:to:me:Ca:nIS@ 
fotomontage;fo:to:mOnta:Z@ 
fotonegative;fo:to:ne:gati:v@ 
fotopapier;fo:to:papi:6 
fotoplatte;fo:to:plat@ 
fotopolymerschicht;fo:to:po:ly:me:6SICt 
fotopraxis;fo:to:pRaksIs 
fotopraxisquelltext;fo:to:pRaksIskvEltEkst 
fotoquelltext;fo:to:kvEltEkst 
fotoradierung;fo:to:Radi:RUN 
fotorepreso;fo:to:Re:pRe:zo: 
fotorezeptoren;fo:to:Re:tsEpto:R@n 
fotos;fo:to:s 
fotosammlungen;fo:to:zamlUN@n 
fotosatz;fo:to:zats 
fotosquelltext;fo:to:skvEltEkst 
fototechnik;fo:to:tECnIk 
fototechnikquelltext;fo:to:tECnIkvEltEkst 
fotothekdeutschen;fo:to:te:kdOYtS@n 
fototheorie;fo:to:te:o:Ri: 
fotowettbewerb;fo:to:vEtb@vERp 
foucault;fu:kaUlt 
foucaultmichel;fu:kaUltmICEl 
foucaultquelltext;fu:kaUltkvEltEkst 
foucaults;fu:kaUlts 
found;fu:nt 
foundation;faUnde:S@n 
foundationadult;faUnde:S@n adUlt 
foundationford;fu:ndatsi: o:nfORt 
foundationjohn;faUnde:S@ndZ On 
foundationopen;faUnde:S@n o:p@n 
foundationquelltext;faUnde:S@nkvEltEkst 
foundationrockefeller;faUnde:S@nROk@fEl6 
foundations;faUnde:S@ns 
foundationsnew;faUnde:S@nsnju: 
foundationwikimedia;fu:ndatsi: o:nvi:ki:me:di: a: 
fouquet;fu:kvEt 
fouquetgerhard;fu:kvEtg6haRt 
fourcategory;fu:Rkate:go:Ri: 
fourier;fu:Ri:6 
fourierpierre;fu:Ri:6pi:6RE 
fouriers;fu:Ri:6s 
fouriertransformation;fu:Ri:6tRansfORmatsi: o:n 
fournier;fu:Rni:6 
fourth;fu:Rt 
foussier;fu:szi:6 
fouyir;fu: Y IR 
fovea;fo:ve: a 
foveale;fo:ve: a:lE 
foveolar;fo:ve: o:la:6 
fowlartemis;fOvlaRte:mIs 
fowler;fOvl6 
fox;fOks 
foxedward;fOks EtvaRt 
foxpeter;fOkspe:t6 
foxrobin;fOksRObIn 
fperp;fp6p 
fr;Ef ER 
fraassenbas;fRa:szEnba:s 
frac;fRats 
fraca;fRaka: 
fracht;fRaxt 
frachtaufkommen;fRaxt aUfkOm@n 
frachtbereich;fRaxtb@RaIC 
frachtfluggesellschaften;fRaxtflu:kg@zElSaft@n 
frachtflugzeuge;fRaxtflu:ktsOYg@ 
frachtflugzeugen;fRaxtflu:ktsOYg@n 
frachtraum;fRaxtRaUm 
frachtraumklappen;fRaxtRaUmklap@n 
frachtschiff;fRaxtSIf 
frachtschifffahrt;fRaxtSIfa:6t 
frachtverbindungen;fRaxtfERbIndUN@n 
fracpartial;fRatspaRtsi: a:l 
fracpi;fRatspi: 
fractextanfangsbestand;fRaktEkstanfaNsb@Stant 
fractextbeschaffungskostentextmenge;fRaktEkstb@SafUNskOstEntEkstmENE 
fractexteinsatzzeittextarbeitszeit;fRaktEkstaInzatstsaItEkstaRbaItstsaIt 
fractextgewichtskraft;fRaktEkstg@vICtskRaft 
fractextjahresanfangsbestand;fRaktEkstja:Re:zanfaNsb@Stant 
fractextstillstandzeittexteinsatzzeit;fRaktEkstStIlstantsaItEkstaInzatstsaIt 
fractextvorhandener;fRaktEkstfo:6hand@n6 
fractextwareneinsatzvarnothing;fRaktEkstvaREnaInzatsvaRno:thIN 
fractextzinssatz;fRaktEkstsInszats 
fractionator;fRakti: o:na:to:6 
fractus;fRaktUs 
fracvarnothing;fRatsvaRno:thIN 
fracx;fRatsks 
fradet;fRa:d@t 
fradinho;fRadInho: 
fraenkelabraham;fRa ENke:la:bRaham 
fraenkeladolf;fRa ENke:ladOlf 
fraenkels;fRa ENkEls 
fraga;fRaga: 
frage;fRa:g@ 
frageadverbs;fRa:g@ atvERps 
fragebogen;fRa:g@bo:g@n 
fragebogenaktionen;fRa:g@bo:g@n aktsi:o:n@n 
fragedeutsche;fRa:g@dOYtS@ 
fragedirekte;fRa:g@di:REkt@ 
fragedirekten;fRa:g@di:REkt@n 
frageformel;fRa:g@fORm@l 
fragegeschlossene;fRa:g@g@SlOs@n@ 
frageindirekte;fRa:g@ Indi:REkt@ 
fragen;fRa:g@n 
fragenbereichs;fRa:g@nb@RaICs 
fragenden;fRa:g@nd@n 
fragender;fRa:g@nd6 
fragenquelltext;fRa:g@nkvEltEkst 
fragens;fRa:g@ns 
frageoffene;fRa:g@ Of@n@ 
frageorientalische;fRa:g@ o:Ri:Enta:lIS@ 
fragepartikeln;fRa:g@paRti:k@ln 
fragepronomen;fRa:g@pRo:no:m@n 
fragequelltext;fRa:g@kvEltEkst 
fragerhetorische;fRa:g@Re:to:RIS@ 
fragesensitive;fRa:g@zEnzi:ti:v@ 
fragesoziale;fRa:g@zo:tsi:a:l@ 
fragestellung;fRa:g@StElUN 
fragestellungen;fRa:g@StElUN@n 
fragestellungquelltext;fRa:g@StElUNkvEltEkst 
fragestrategie;fRa:g@StRate:gi: 
fragesup;fRa:g@s ap 
fragetechnik;fRa:g@tECnIk 
fragetechniken;fRa:g@tECnIk@n 
fragezeichendie;fRa:g@tsaIC@ndi: 
fragil;fRagi:l 
fragile;fRagi:l@ 
fraglich;fRa:klIC 
fragliche;fRa:klIC@ 
fraglichen;fRa:klIC@n 
fraglos;fRa:glo:s 
fragment;fRagmEnt 
fragmentarisch;fRagmEnta:RIS 
fragmentarische;fRagmEnta:RIS@ 
fragmentarischen;fRagmEnta:RIS@n 
fragmente;fRagmEnt@ 
fragmenten;fRagmEnt@n 
fragmentiert;fRagmEnti:6t 
fragmentierte;fRagmEnti:6t@ 
fragmentierten;fRagmEnti:6t@n 
fragmentierung;fRagmEnti:RUN 
fragmentierungquelltext;fRagmEnti:RUNkvEltEkst 
fragments;fRagmEnts 
fragrance;fRagRants@ 
fragt;fRa:kt 
fragte;fRa:kt@ 
fragten;fRa:kt@n 
frahm;fRa:m 
fraktion;fRaktsi:o:n 
fraktionen;fRaktsi:o:n@n 
fraktionierungen;fRaktsi:o:ni:RUN@n 
fraktionsgemeinden;fRaktsi:o:nsg@maInd@n 
fraktionslose;fRaktsi:o:nslo:z@ 
frakturschrift;fRaktu:6SRIft 
fraling;fRalIN 
frame;fRe:m 
frames;fRe:ms 
framesetquelltext;fRe:msEtkvEltEkst 
framework;fRe:mv9k 
frameworkcss;fRame:vORkts 
franca;fRanka: 
francaenglisch;fRanka ENlIS 
francaenglischen;fRanka ENlIS@n 
francaise;fRa^sE:s 
francalingua;fRankalINgu: a: 
france;fRa^ @ 
franceassociation;fRantse: aszOtsi: atsi: o:n 
francesca;fRantsEska: 
francesco;fRantSEsko: 
francetour;fRa^ @tu:6 
franchise;fRaNSi:z@ 
francis;fREntsIs 
franciscani;fRantsIskani: 
francisco;fRantsIsko: 
franciscodie;fRantsIsko:di: 
franciscono;fRantsIsko:no: 
franciscosan;fRantsIsko:za:n 
francisdick;fREntsIsdIk 
franck;fRantsk 
francke;fRantskE 
franckhkosmos;fRantskha kOsmOs 
franco;fRaNko: 
francoangeli;fRaNko: aNge:li: 
francofrancisco;fRanko:fRantsIsko: 
francois;fRa^su:a: 
francoism;fRanko: Ism 
franconia;fRanko:ni: a: 
francos;fRaNko:s 
francozeit;fRaNko:tsaIt 
frank;fRaNk 
frankbruno;fRaNkbRu:no: 
franke;fRaNk@ 
franken;fRaNk@n 
frankenberg;fRaNk@nbERk 
frankenbergegbert;fRaNk@nbERk EkbERt 
frankenberger;fRaNk@nbERg6 
frankenbergersebastian;fRaNk@nbERg6ze:basti:a:n 
frankenheimerjohn;fRaNk@nhaIm6dZ On 
frankenherzogtum;fRaNk@nhERtso:ktu:m 
frankenkarpfen;fRaNk@nkaRpf@n 
frankenreich;fRaNk@nRaIC 
frankenreichs;fRaNk@nRaICs 
